"Année","Canton (-) / District (>>) / Commune (......)","Durée du mariage","Nationalité (catégorie) partenaire 1","Nationalité (catégorie) partenaire 2 - total","Suisse","Étranger"
"1969","Suisse","Durée du mariage - total","Nationalité (catégorie) partenaire 1 - total",5982,...,...
"1969","Suisse","Durée du mariage - total","Suisse",...,...,...
"1969","Suisse","Durée du mariage - total","Étranger",...,...,...
"1969","Suisse","0-4 ans","Nationalité (catégorie) partenaire 1 - total",1437,...,...
"1969","Suisse","0-4 ans","Suisse",...,...,...
"1969","Suisse","0-4 ans","Étranger",...,...,...
"1969","Suisse","5-9 ans","Nationalité (catégorie) partenaire 1 - total",1755,...,...
"1969","Suisse","5-9 ans","Suisse",...,...,...
"1969","Suisse","5-9 ans","Étranger",...,...,...
"1969","Suisse","10-14 ans","Nationalité (catégorie) partenaire 1 - total",1145,...,...
"1969","Suisse","10-14 ans","Suisse",...,...,...
"1969","Suisse","10-14 ans","Étranger",...,...,...
"1969","Suisse","15-19 ans","Nationalité (catégorie) partenaire 1 - total",714,...,...
"1969","Suisse","15-19 ans","Suisse",...,...,...
"1969","Suisse","15-19 ans","Étranger",...,...,...
"1969","Suisse","20 ans ou plus","Nationalité (catégorie) partenaire 1 - total",931,...,...
"1969","Suisse","20 ans ou plus","Suisse",...,...,...
"1969","Suisse","20 ans ou plus","Étranger",...,...,...
"1970","Suisse","Durée du mariage - total","Nationalité (catégorie) partenaire 1 - total",6406,...,...
"1970","Suisse","Durée du mariage - total","Suisse",...,...,...
"1970","Suisse","Durée du mariage - total","Étranger",...,...,...
"1970","Suisse","0-4 ans","Nationalité (catégorie) partenaire 1 - total",1568,...,...
"1970","Suisse","0-4 ans","Suisse",...,...,...
"1970","Suisse","0-4 ans","Étranger",...,...,...
"1970","Suisse","5-9 ans","Nationalité (catégorie) partenaire 1 - total",1926,...,...
"1970","Suisse","5-9 ans","Suisse",...,...,...
"1970","Suisse","5-9 ans","Étranger",...,...,...
"1970","Suisse","10-14 ans","Nationalité (catégorie) partenaire 1 - total",1143,...,...
"1970","Suisse","10-14 ans","Suisse",...,...,...
"1970","Suisse","10-14 ans","Étranger",...,...,...
"1970","Suisse","15-19 ans","Nationalité (catégorie) partenaire 1 - total",778,...,...
"1970","Suisse","15-19 ans","Suisse",...,...,...
"1970","Suisse","15-19 ans","Étranger",...,...,...
